Untitled_Curation_15_04_2026
title;authors;pmid;pmcid;doi;articleYear;journal;articleLink;source;status;exclusion;tags;neurostoreId
Structural and Functional Disruptions in Subcortical Vascular Mild Cognitive Impairment With and Without Depressive Symptoms;"Lyu, Hanqing; Wang, Jianjun; Xu, Jinping; Zheng, Haotao; Yang, Xiaoyan; Lin, Songjun; Chen, Jianxiang; Zhou, Liuchang; Hu, Yuanming; Guo, Zhouke";31572164;PMC6753164;10.3389/fnagi.2019.00241;2019;Front Aging Neurosci;https://pubmed.ncbi.nlm.nih.gov/31572164;Neurostore;Identification;Duplicate;;MEw96gAdF5Ud
A primary study of diffusion tensor imaging-based histogram analysis in vascular cognitive impairment with no dementia;"Zhou, Yan;Qun-Xu;Qin, Lin-di;Qian, Li-jun;Cao, Wei-wen;Xu, Jian-rong";20947245;;10.1016/j.clineuro.2010.09.007;2011;Clinical neurology and neurosurgery;https://pubmed.ncbi.nlm.nih.gov/20947245;Neurostore;Identification;Duplicate;;7mGowtSUAAAJ
Aberrant Amplitude of Low-Frequency Fluctuation and Degree Centrality within the Default Mode Network in Patients with Vascular Mild Cognitive Impairment;"Li, Haoyuan; Jia, Xiuqin; Li, Yingying; Jia, Xuejia; Yang, Qi";34827533;PMC8615791;10.3390/brainsci11111534;2021;Brain Sci;https://pubmed.ncbi.nlm.nih.gov/34827533;Neurostore;Identification;Duplicate;;SRQMbv9Nzwto
Gray matter asymmetry in asymptomatic carotid stenosis;"Gao L; Xiao Y; Xu H";34498785;PMC8559457;10.1002/hbm.25645;2021;Hum Brain Mapp;https://pubmed.ncbi.nlm.nih.gov/34498785;Neurostore;Identification;Duplicate;;Nik27MnG8HUj
Low-Frequency Fluctuations Amplitude Signals Exhibit Abnormalities of Intrinsic Brain Activities and Reflect Cognitive Impairment in Leukoaraiosis Patients;"Wang, Jinfang; Chen, Hongyan; Liang, Huazheng; Wang, Wanming; Liang, Yi; Liang, Ying; Zhang, Yumei";31302662;PMC6650186;10.12659/MSM.915528;2019;Med Sci Monit;https://pubmed.ncbi.nlm.nih.gov/31302662;Neurostore;Identification;Duplicate;;KTHQAwykxzaU
The Dose-Dependent Effects of Vascular Risk Factors on Dynamic Compensatory Neural Processes in Mild Cognitive Impairment;"Chen, Haifeng; Su, Fan; Ye, Qing; Wang, Zan; Shu, Hao; Bai, Feng";29867442;PMC5951955;10.3389/fnagi.2018.00131;2018;Front Aging Neurosci;https://pubmed.ncbi.nlm.nih.gov/29867442;Neurostore;Identification;Duplicate;;8KVihQGFMxHX
Aberrant spontaneous static and dynamic amplitude of low‐frequency fluctuations in cerebral small vessel disease with or without mild cognitive impairment;"Zhang, Xulian; Wang, Zhigang; Zheng, Darui; Cao, Xuan; Qi, Wenzhang; Yuan, Qianqian; Zhang, Da; Liang, Xuhong; Ruan, Yiming; Zhang, Shaojun; Tang, Weijie; Huang, Qingling; Xue, Chen";37815202;PMC10726894;10.1002/brb3.3279;2023;Brain Behav;https://pubmed.ncbi.nlm.nih.gov/37815202;Neurostore;Identification;Duplicate;;LByiVSrJ9AtY
Structural changes in white matter lesion patients and their correlation with cognitive impairment;"Wang J; Liang Y; Chen H; Wang W; Wang Y; Liang Y; Zhang Y";31190839;PMC6534061;10.2147/NDT.S194803;2019;Neuropsychiatr Dis Treat;https://pubmed.ncbi.nlm.nih.gov/31190839;Neurostore;Identification;Duplicate;;VR5QENUErBAk
Altered Granger Causal Connectivity of Resting-State Neural Networks in Patients With Leukoaraiosis-Associated Cognitive Impairment—A Cross-Sectional Study;"Shi, Qingli; Chen, Hongyan; Jia, Qian; Yuan, Zinan; Wang, Jinfang; Li, Yuexiu; Han, Zaizhu; Mo, Dapeng; Zhang, Yumei";32655471;PMC7325959;10.3389/fneur.2020.00457;2020;Front Neurol;https://pubmed.ncbi.nlm.nih.gov/32655471;Neurostore;Identification;Duplicate;;PjNu3GyXXjs6
Altered static and dynamic functional network connectivity related to cognitive decline in individuals with white matter hyperintensities.;"Chen, Haifeng;Xu, Jingxian;Lv, Weiping;Hu, Zheqi;Ke, Zhihong;Qin, Ruomeng;Xu, Yun";37230298;;10.1016/j.bbr.2023.114506;2023;Behavioural brain research;https://pubmed.ncbi.nlm.nih.gov/37230298;Neurostore;Identification;Duplicate;;ZkUyeiywitnR
Enhanced Regional Homogeneity and Functional Connectivity in Subjects With White Matter Hyperintensities and Cognitive Impairment;"Ye Q; Chen X; Qin R; Huang L; Yang D; Liu R; Zhang B; Bai F; Xu Y";31333409;PMC6617843;10.3389/fnins.2019.00695;2019;Front Neurosci;https://pubmed.ncbi.nlm.nih.gov/31333409;Neurostore;Identification;Duplicate;;wuY4k68WhQbT
The Modulatory Effect of Cerebrovascular Burden in Response to Cognitive Stimulation in Healthy Ageing and Mild Cognitive Impairment;"Bentham C; De Marco M; Venneri A";31467519;PMC6701285;10.1155/2019/2305318;2019;Neural Plast;https://pubmed.ncbi.nlm.nih.gov/31467519;Neurostore;Identification;Duplicate;;vGCNNXPS587A
Alzheimer's and vascular disease classification using regional texture biomarkers in FLAIR MRI.;"Chan, Karissa;Fischer, Corinne;Maralani, Pejman Jabehdar;Black, Sandra E;Moody, Alan R;Khademi, April";36989851;PMC10074987;10.1016/j.nicl.2023.103385;2023;NeuroImage. Clinical;https://pubmed.ncbi.nlm.nih.gov/36989851;Neurostore;Identification;Duplicate;;ATnqcPVFmG9s
Apolipoprotein E-dependent load of white matter hyperintensities in Alzheimer’s disease: a voxel-based lesion mapping study;"Morgen K; Schneider M; Frölich L; Tost H; Plichta MM; Kölsch H; Rakebrandt F; Rienhoff O; Jessen F; Peters O; Jahn H; Luckhaus C; Hüll M; Gertz HJ; Schröder J; Hampel H; Teipel SJ; Pantel J; Heuser I; Wiltfang J; Rüther E; Kornhuber J; Maier W; Meyer-Lindenberg A";25984242;PMC4432954;10.1186/s13195-015-0111-8;2015;Alzheimers Res Ther;https://pubmed.ncbi.nlm.nih.gov/25984242;Neurostore;Identification;Duplicate;;PyfaaRy74wiU
The pattern of brain gray matter impairments in patients with subcortical vascular dementia.;"Liu, Chen;Li, Chuanming;Gui, Li;Zhao, Lu;Evans, Alan C;Xie, Bing;Zhang, Jiuquan;Wei, Luqing;Zhou, Daiquan;Wang, Jian;Yin, Xuntao";24798224;;10.1016/j.jns.2014.04.017;2014;Journal of the neurological sciences;https://pubmed.ncbi.nlm.nih.gov/24798224;Neurostore;Identification;Duplicate;;e79Dg5WZJe2M
Changes in hemodynamic response function components reveal specific changes in neurovascular coupling in type 2 diabetes;"Duarte, João Valente; Guerra, Catarina; Moreno, Carolina; Gomes, Leonor; Castelo-Branco, Miguel";36703928;PMC9872943;10.3389/fphys.2022.1101470;2022;Front Physiol;https://pubmed.ncbi.nlm.nih.gov/36703928;Neurostore;Identification;Duplicate;;UupE8y79dLY5
Interactions between sleep disturbances and Alzheimer’s disease on brain function: a preliminary study combining the static and dynamic functional MRI;"Li K; Luo X; Zeng Q; Jiaerken Y; Wang S; Xu X; Xu X; Xu J; Wang C; Zhou J; Huang P; Zhang M";31836777;PMC6911090;10.1038/s41598-019-55452-9;2019;Sci Rep;https://pubmed.ncbi.nlm.nih.gov/31836777;Neurostore;Identification;Duplicate;;axXhz8NSftUi
Leukoaraiosis and Gray Matter Volume Alteration in Older Adults: The PROOF Study;"Celle S; Boutet C; Annweiler C; Ceresetti R; Pichot V; Barthélémy JC; Roche F";35095388;PMC8793339;10.3389/fnins.2021.747569;2021;Front Neurosci;https://pubmed.ncbi.nlm.nih.gov/35095388;Neurostore;Identification;Duplicate;;KVuW2m7uWbct
Impairment in complex activities of daily living is related to neurodegeneration in Alzheimer's disease-specific regions.;Roos J Jutten, Ellen Dicks, Lieke Vermaat, Frederik Barkhof, Philip Scheltens, Betty M Tijms, Sietske A M Sikkes;30557769;;10.1016/j.neurobiolaging.2018.11.018;2018;Neurobiology of aging;https://pubmed.ncbi.nlm.nih.gov/30557769;Neurostore;Identification;Duplicate;;32xrozCG7ohz
Effects of a physical activity intervention on brain atrophy in older adults at risk of dementia: a randomized controlled trial.;"Sinclair, Benjamin;Steward, Chris;Venkatraman, Vijay;Aljondi, Rowa;Cox, Kay L;Ellis, Kathryn A;Ames, David;Masters, Colin L;Phal, Pramit M;Sharman, Matthew J;Cyarto, Elizabeth V;Lai, Michelle M Y;Szoeke, Cassandra;Lautenschlager, Nicola T;Desmond, Patricia M";34757564;;10.1007/s11682-021-00577-7;2021;Brain imaging and behavior;https://pubmed.ncbi.nlm.nih.gov/34757564;Neurostore;Identification;Duplicate;;QqrzWccFCPea
Increased cerebral blood volume in small arterial vessels is a correlate of amyloid-β-related cognitive decline.;"Hua, Jun;Lee, SeungWook;Blair, Nicholas I S;Wyss, Michael;van Bergen, Jiri M G;Schreiner, Simon J;Kagerer, Sonja M;Leh, Sandra E;Gietl, Anton F;Treyer, Valerie;Buck, Alfred;Nitsch, Roger M;Pruessmann, Klaas P;Lu, Hanzhang;Van Zijl, Peter C M;Albert, Marilyn;Hock, Christoph;Unschuld, Paul G";30738323;PMC6438210;10.1016/j.neurobiolaging.2019.01.001;2019;Neurobiology of aging;https://pubmed.ncbi.nlm.nih.gov/30738323;Neurostore;Identification;Duplicate;;Pu7AxRHSmf5E
Severe asymptomatic carotid stenosis is associated with robust reductions in homotopic functional connectivity;"Gao L; Wang T; Qian T; Xiao F; Bai L; Zhang J; Xu H";31835289;PMC6911862;10.1016/j.nicl.2019.102101;2019;Neuroimage Clin;https://pubmed.ncbi.nlm.nih.gov/31835289;Neurostore;Identification;Duplicate;;JBSuCmXwxYAJ
Orthostatic hypotension, cerebral hypoperfusion, and visuospatial deficits in Lewy body disorders;"Robertson, Andrew D;Messner, Michelle A;Shirzadi, Zahra;Kleiner-Fisman, Galit;Lee, Joyce;Hopyan, Julia;Lang, Anthony E;Black, Sandra E;MacIntosh, Bradley J;Masellis, Mario";26639982;;10.1016/j.parkreldis.2015.11.019;2016;Parkinsonism & related disorders;https://pubmed.ncbi.nlm.nih.gov/26639982;Neurostore;Identification;Duplicate;;QjwTrKoLR9uH
Diagnostic Efficacy of Voxel-Mirrored Homotopic Connectivity in Vascular Dementia as Compared to Alzheimer’s Related Neurodegenerative Diseases—A Resting State fMRI Study;"Cheung, Eva Y. W.; Shea, Y. F.; Chiu, Patrick K. C.; Kwan, Joseph S. K.; Mak, Henry K. F.";34685479;PMC8538280;10.3390/life11101108;2021;Life (Basel);https://pubmed.ncbi.nlm.nih.gov/34685479;Neurostore;Identification;Duplicate;;pX36tXMZiRKD
Correspondence between white matter hyperintensities and regional grey matter volumes in Alzheimer's disease;"Yi, Fangyuan; Wang, Jirui; Lin, Meiqing; Li, Baizhu; Han, Shiyu; Wang, Shan; Jin, Yingbin; Hu, Ning; Chen, Yutong; Shang, Xiuli";39351014;11439820;10.3389/fnagi.2024.1429098;2024;Front Aging Neurosci;https://pubmed.ncbi.nlm.nih.gov/39351014;Neurostore;Identification;Duplicate;;g4xuss3PUDWU
Performance comparison of 10 different classification techniques in segmenting white matter hyperintensities in aging.;"Dadar, Mahsa;Maranzano, Josefina;Misquitta, Karen;Anor, Cassandra J;Fonov, Vladimir S;Tartaglia, M Carmela;Carmichael, Owen T;Decarli, Charles;Collins, D Louis";28602597;PMC6469398;10.1016/j.neuroimage.2017.06.009;2017;NeuroImage;https://pubmed.ncbi.nlm.nih.gov/28602597;Neurostore;Identification;Duplicate;;nYJBLTAXpWHQ
White matter hyperintensities at critical crossroads for executive function and verbal abilities in small vessel disease;"Camerino I; Sierpowska J; Reid A; Meyer NH; Tuladhar AM; Kessels RPC; de Leeuw FE; Piai V";33231360;PMC7856651;10.1002/hbm.25273;2020;Hum Brain Mapp;https://pubmed.ncbi.nlm.nih.gov/33231360;Neurostore;Identification;Duplicate;;Ucf9gzLwCZaJ
Severe asymptomatic carotid stenosis is associated with robust reductions in homotopic functional connectivity;"Gao L; Wang T; Qian T; Xiao F; Bai L; Zhang J; Xu H";31835289;PMC6911862;10.1016/j.nicl.2019.102101;2019;Neuroimage Clin;https://pubmed.ncbi.nlm.nih.gov/31835289;Neurostore;Identification;Duplicate;;JBSuCmXwxYAJ
White matter hyperintensities alter functional organization of the motor system;Linortner P, Fazekas F, Schmidt R, Ropele S, Pendl B, Petrovic K, Loitfelder M, Neuper C, Enzinger C;20724032;;10.1016/j.neurobiolaging.2010.06.005;2010;Neurobiology of aging;https://pubmed.ncbi.nlm.nih.gov/20724032;Neurostore;Identification;Duplicate;;7wt2AhhggYGM
Association between white matter hyperintensity load and grey matter atrophy in mild cognitive impairment is not unidirectional;"Vipin A; Wong BYX; Kumar D; Low A; Ng KP; Kandiah N";33861727;PMC8109133;10.18632/aging.202977;2021;Aging (Albany NY);https://pubmed.ncbi.nlm.nih.gov/33861727;Neurostore;Identification;Duplicate;;w3HxsAyMD9JV
Impaired functional network properties contribute to white matter hyperintensity related cognitive decline in patients with cerebral small vessel disease;"Wang Y; Liu X; Hu Y; Yu Z; Wu T; Wang J; Liu J; Liu J";35264145;PMC8908649;10.1186/s12880-022-00769-7;2022;BMC Med Imaging;https://pubmed.ncbi.nlm.nih.gov/35264145;Neurostore;Identification;Duplicate;;pnN7hdkLGEkc
Apolipoprotein E-dependent load of white matter hyperintensities in Alzheimer’s disease: a voxel-based lesion mapping study;"Morgen K; Schneider M; Frölich L; Tost H; Plichta MM; Kölsch H; Rakebrandt F; Rienhoff O; Jessen F; Peters O; Jahn H; Luckhaus C; Hüll M; Gertz HJ; Schröder J; Hampel H; Teipel SJ; Pantel J; Heuser I; Wiltfang J; Rüther E; Kornhuber J; Maier W; Meyer-Lindenberg A";25984242;PMC4432954;10.1186/s13195-015-0111-8;2015;Alzheimers Res Ther;https://pubmed.ncbi.nlm.nih.gov/25984242;Neurostore;Identification;Duplicate;;PyfaaRy74wiU
Attention-Related Brain Activation Is Altered in Older Adults With White Matter Hyperintensities Using Multi-Echo fMRI;"Atwi, Sarah; Metcalfe, Arron W. S.; Robertson, Andrew D.; Rezmovitz, Jeremy; Anderson, Nicole D.; MacIntosh, Bradley J.";30405336;PMC6200839;10.3389/fnins.2018.00748;2018;Front Neurosci;https://pubmed.ncbi.nlm.nih.gov/30405336;Neurostore;Identification;Duplicate;;dr84ruyC55ie
Longitudinal changes of cortical morphology in CADASIL.;Eric Jouvent, Jean-François Mangin, Edouard Duchesnay, Raphael Porcher, Marco Düring, Yvonne Mewald, Jean-Pierre Guichard, Dominique Hervé, Sonia Reyes, Nikola Zieren, Martin Dichgans, Hugues Chabriat;22000857;;10.1016/j.neurobiolaging.2011.09.013;2011;Neurobiology of aging;https://pubmed.ncbi.nlm.nih.gov/22000857;Neurostore;Identification;Duplicate;;7rLeNBnesbdt
The association of markers of cerebral small vessel disease and brain atrophy with incidence and course of depressive symptoms - the maastricht study.;"Geraets, Anouk Fj;Köhler, Sebastian;Jansen, Jacobus Fa;Eussen, Simone Jpm;Stehouwer, Coen DA;Schaper, Nicolaas C;Wesselius, Anke;Verhey, Frans Rj;Schram, Miranda T";34144369;;10.1016/j.jad.2021.05.096;2021;Journal of affective disorders;https://pubmed.ncbi.nlm.nih.gov/34144369;Neurostore;Identification;Duplicate;;vTEE7ooV6bi9
Disrupted functional and structural connectivity within default mode network contribute to WMH-related cognitive impairment.;Xin Chen, Lili Huang, Qing Ye, Dan Yang, Ruomeng Qin, Caimei Luo, Mengchun Li, Bing Zhang, Yun Xu;31795048;PMC6861557;10.1016/j.nicl.2019.102088;2019;NeuroImage. Clinical;https://pubmed.ncbi.nlm.nih.gov/31795048;Neurostore;Identification;Duplicate;;5rgarvAmwC22
Leukoaraiosis and Gray Matter Volume Alteration in Older Adults: The PROOF Study;"Celle S; Boutet C; Annweiler C; Ceresetti R; Pichot V; Barthélémy JC; Roche F";35095388;PMC8793339;10.3389/fnins.2021.747569;2021;Front Neurosci;https://pubmed.ncbi.nlm.nih.gov/35095388;Neurostore;Identification;Duplicate;;KVuW2m7uWbct
Differences in Gray Matter Volume in Cerebral Small Vessel Disease Patients with and without Sleep Disturbance;"Zhao J; Kong Q; Zhou X; Zhang Y; Yu Z; Qu W; Huang H; Luo X";36831837;PMC9953873;10.3390/brainsci13020294;2023;Brain Sci;https://pubmed.ncbi.nlm.nih.gov/36831837;Neurostore;Identification;Duplicate;;NmXLQwLUEEiQ
Quantitative morphometric changes in vascular mild cognitive impairment patients: early diagnosis of dementia.;Jitian Guan, Qiuyu Li, Zhuozhi Dai, Lingfeng Lai, Shuyi Sun, Yiqun Geng, Zhiwei Shen, Lan Luo, Yanlong Jia, Lin Yang, Yanyan Tang, Gen Yan, Renhua Wu;36635220;PMC10152087;10.1093/cercor/bhac437;2023;Cerebral cortex (New York, N.Y. : 1991);https://pubmed.ncbi.nlm.nih.gov/36635220;Neurostore;Identification;Duplicate;;5nbdKnTMAaf8
Fiber Connectivity Density in Cerebral Small-Vessel Disease Patients With Mild Cognitive Impairment and Cerebral Small-Vessel Disease Patients With Normal Cognition;"Liu C; Shi L; Zhu W; Yang S; Sun P; Qin Y; Tang X; Zhang S; Yao Y; Wang Z; Zhu W; Wang D";32116526;PMC7028684;10.3389/fnins.2020.00083;2020;Front Neurosci;https://pubmed.ncbi.nlm.nih.gov/32116526;Neurostore;Identification;Duplicate;;et8rEYhNUuxV
Dissociable Functional Brain Networks Associated With Apathy in Subcortical Ischemic Vascular Disease and Alzheimer’s Disease;"Altunkaya S; Huang SM; Hsu YH; Yang JJ; Lin CY; Kuo LW; Tu MC";35185511;PMC8851472;10.3389/fnagi.2021.717037;2021;Front Aging Neurosci;https://pubmed.ncbi.nlm.nih.gov/35185511;Neurostore;Identification;Duplicate;;6hfB66Uhksug
Brain Volumetrics, Regional Cortical Thickness and Radiographic Findings in Adults with Cyanotic Congenital Heart Disease;"Cordina, Rachael;Grieve, Stuart;Barnett, Michael;Lagopoulos, Jim;Malitz, Nathan;Celermajer, David S";24501700;PMC3913831;10.1016/j.nicl.2013.12.011;2014;NeuroImage. Clinical;https://pubmed.ncbi.nlm.nih.gov/24501700;Neurostore;Identification;Duplicate;;6pA3Q93ypQfv
Resting state fMRI regional homogeneity correlates with cognition measures in subcortical vascular cognitive impairment;"Diciotti, Stefano;Orsolini, Stefano;Salvadori, Emilia;Giorgio, Antonio;Toschi, Nicola;Ciulli, Stefano;Ginestroni, Andrea;Poggesi, Anna;De Stefano, Nicola;Pantoni, Leonardo;Inzitari, Domenico;Mascalchi, Mario";28131162;;10.1016/j.jns.2016.12.003;2017;Journal of the neurological sciences;https://pubmed.ncbi.nlm.nih.gov/28131162;Neurostore;Identification;Duplicate;;6pZgioScw84R
Early small vessel disease affects frontoparietal and cerebellar hubs in close correlation with clinical symptoms—a resting-state fMRI study;Alexander Schaefer, Eva M Quinque, Judy A Kipping, Katrin Arélin, Elisabeth Roggenhofer, Stefan Frisch, Arno Villringer, Karsten Mueller and Matthias L Schroeter;24780899;PMC4083384;10.1038/jcbfm.2014.70;2014;Journal of Cerebral Blood Flow & Metabolism;https://pubmed.ncbi.nlm.nih.gov/24780899;Neurostore;Identification;Duplicate;;7SJfRMcPsLpP
Blood pressure variability, central autonomic network dysfunction and cerebral small vessel disease in APOE4 carriers;"Lohman, Trevor; Sible, Isabel; Kapoor, Arunima; Engstrom, Allison C; Alitin, John Paul; Gaubert, Aimee; Rodgers, Kathleen E; Bradford, David; Mather, Mara; Han, S. Duke; Thayer, Julian F.; Nation, Daniel A";38168394;PMC10760290;10.1101/2023.12.13.23299556;2023;medRxiv;https://pubmed.ncbi.nlm.nih.gov/38168394;Neurostore;Identification;Duplicate;;kBuHtXGVi8aU
Brain Glucose Metabolism in Vascular White Matter Disease With Dementia: Differentiation From Alzheimer Disease;Belen Pascual, Elena Prieto, Javier Arbizu, Josep Marti-Climent, Jorge Olier, Joseph C. Masdeu;21051671;;10.1161/STROKEAHA.110.591552;2010;Stroke;https://pubmed.ncbi.nlm.nih.gov/21051671;Neurostore;Identification;Duplicate;;7BGokpfGUVS2
Orthostatic hypotension, cerebral hypoperfusion, and visuospatial deficits in Lewy body disorders;"Robertson, Andrew D;Messner, Michelle A;Shirzadi, Zahra;Kleiner-Fisman, Galit;Lee, Joyce;Hopyan, Julia;Lang, Anthony E;Black, Sandra E;MacIntosh, Bradley J;Masellis, Mario";26639982;;10.1016/j.parkreldis.2015.11.019;2016;Parkinsonism & related disorders;https://pubmed.ncbi.nlm.nih.gov/26639982;Neurostore;Identification;Duplicate;;QjwTrKoLR9uH
Increased cerebral blood volume in small arterial vessels is a correlate of amyloid-β-related cognitive decline.;"Hua, Jun;Lee, SeungWook;Blair, Nicholas I S;Wyss, Michael;van Bergen, Jiri M G;Schreiner, Simon J;Kagerer, Sonja M;Leh, Sandra E;Gietl, Anton F;Treyer, Valerie;Buck, Alfred;Nitsch, Roger M;Pruessmann, Klaas P;Lu, Hanzhang;Van Zijl, Peter C M;Albert, Marilyn;Hock, Christoph;Unschuld, Paul G";30738323;PMC6438210;10.1016/j.neurobiolaging.2019.01.001;2019;Neurobiology of aging;https://pubmed.ncbi.nlm.nih.gov/30738323;Neurostore;Identification;Duplicate;;Pu7AxRHSmf5E
F-FDG PET and a classifier algorithm reveal a characteristic glucose metabolic pattern in adult patients with moyamoya disease and vascular cognitive impairment.;"Weng, Ruiyuan;Ren, Shuhua;Su, Jiabin;Ni, Wei;Yang, Chunlei;Gao, Xinjie;Xiao, Weiping;Zhang, Xin;Jiang, Hanqiang;Guan, Yihui;Huang, Qi;Gu, Yuxiang";36637715;;10.1007/s11682-022-00752-4;2023;Brain imaging and behavior;https://pubmed.ncbi.nlm.nih.gov/36637715;Neurostore;Screening;Irrelevant;;WxhfiPPByPWR
Microstructural damage pattern of vascular cognitive impairment: a comparison between moyamoya disease and cerebrovascular atherosclerotic disease;"Su JB; Xi SD; Zhou SY; Zhang X; Jiang SH; Xu B; Chen L; Lei Y; Gao C; Gu YX";30688272;PMC6375028;10.4103/1673-5374.249234;2019;Neural Regen Res;https://pubmed.ncbi.nlm.nih.gov/30688272;Neurostore;Screening;Irrelevant;;FiCNt9xnxWpi
Altered Patterns of Amplitude of Low-Frequency Fluctuations and Fractional Amplitude of Low-Frequency Fluctuations Between Amnestic and Vascular Mild Cognitive Impairment: An ALE-Based Comparative Meta-Analysis;"Zhang X; Xue C; Cao X; Yuan Q; Qi W; Xu W; Zhang S; Huang Q";34531735;PMC8438295;10.3389/fnagi.2021.711023;2021;Front Aging Neurosci;https://pubmed.ncbi.nlm.nih.gov/34531735;Neurostore;Screening;Irrelevant;;iPsmNekp9nM7
Aberrant Functional Connectivity and Structural Atrophy in Subcortical Vascular Cognitive Impairment: Relationship with Cognitive Impairments;"Zhou, Xia; Hu, Xiaopeng; Zhang, Chao; Wang, Haibao; Zhu, Xiaoqun; Xu, Liyan; Sun, Zhongwu; Yu, Yongqiang";26869922;PMC4736471;10.3389/fnagi.2016.00014;2016;Front Aging Neurosci;https://pubmed.ncbi.nlm.nih.gov/26869922;Neurostore;Screening;Irrelevant;;k9acAn8tWVBq
